date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,139.4,140.78,138.17,140.54,140.54,5815374,5815374,1.14,0.818,139.83,"January 20, 23",0.00818
2023-01-19,141.39,141.53,138.79,138.83,138.83,5778841,5778841,-2.56,-1.811,139.71667,"January 19, 23",-0.01811
2023-01-18,144.2,144.25,140.475,140.84,140.84,7535306,7535306,-3.36,-2.33,141.855,"January 18, 23",-0.0233
2023-01-17,145.29,145.71,144.2,144.41,144.41,5039224,5039224,-0.88,-0.606,144.77333,"January 17, 23",-0.00606
2023-01-13,145.53,145.82,143.8601,145.29,145.29,4506544,4506544,-0.24,-0.165,144.99003,"January 13, 23",-0.00165
2023-01-12,146.41,146.42,144.39,144.81,144.81,4157018,4157018,-1.6,-1.093,145.20667,"January 12, 23",-0.01093
2023-01-11,145.74,146.18,144.73,146.13,146.13,4942855,4942855,0.39,0.268,145.68,"January 11, 23",0.00268
2023-01-10,144.94,145.45,143.73,144.86,144.86,3699835,3699835,-0.08,-0.055,144.68,"January 10, 23",-0.00055
2023-01-09,146.32,147.86,144.8,144.95,144.95,5916288,5916288,-1.37,-0.936,145.87,"January 09, 23",-0.00936
2023-01-06,144.6,147.55,144.24,146.78,146.78,6608228,6608228,2.18,1.508,146.19,"January 06, 23",0.01508
2023-01-05,143.46,144.13,142.65,143.27,143.27,4148090,4148090,-0.19,-0.132,143.35,"January 05, 23",-0.00132
2023-01-04,143.42,144.05,142.07,143.76,143.76,4444840,4444840,0.34,0.237,143.29333,"January 04, 23",0.00237
2023-01-03,142.55,143.71,142.09,143.6,143.6,5716896,5716896,1.05,0.737,143.13333,"January 03, 23",0.00737
2022-12-30,141.56,141.9925,140.81,141.79,141.79,3701332,3701332,0.23,0.162,141.53083,"December 30, 22",0.00162
2022-12-29,142.14,143.02,141.75,142.15,142.15,2956483,2956483,0.01,0.007,142.30667,"December 29, 22",7e-05
2022-12-28,143.47,143.67,140.91,141.29,141.29,4986267,4986267,-2.18,-1.519,141.95667,"December 28, 22",-0.01519
2022-12-27,144.04,144.45,143.19,143.81,143.81,3342616,3342616,-0.23,-0.16,143.81667,"December 27, 22",-0.0016
2022-12-23,143.05,143.8,142.28,143.77,143.77,3100975,3100975,0.72,0.503,143.28333,"December 23, 22",0.00503
2022-12-22,144.77,144.98,141.93,143.48,143.48,4194986,4194986,-1.29,-0.891,143.46333,"December 22, 22",-0.00891
2022-12-21,144.32,145.94,144.26,145.18,145.18,4203319,4203319,0.86,0.596,145.12667,"December 21, 22",0.00596
2022-12-20,142.92,144.64,142.25,144.05,144.05,5392093,5392093,1.13,0.791,143.64667,"December 20, 22",0.00791
2022-12-19,143.01,143.56,141.73,142.8,142.8,5018030,5018030,-0.21,-0.147,142.69667,"December 19, 22",-0.00147
2022-12-16,144.48,144.72,142.57,142.75,142.75,13443780,13443780,-1.73,-1.197,143.34667,"December 16, 22",-0.01197
2022-12-15,145.58,146.42,143.63,145.36,145.36,5837837,5837837,-0.22,-0.151,145.13667,"December 15, 22",-0.00151
2022-12-14,147.09,148.53,145.96,146.67,146.67,6163565,6163565,-0.42,-0.286,147.05333,"December 14, 22",-0.00286
2022-12-13,150,150.2,146.74,147.49,147.49,7802705,7802705,-2.51,-1.673,148.14333,"December 13, 22",-0.01673
2022-12-12,145.9,148.1,145.56,148.02,148.02,5958568,5958568,2.12,1.453,147.22667,"December 12, 22",0.01453
2022-12-09,147.47,147.72,145.22,145.31,145.31,9309594,9309594,-2.16,-1.465,146.08333,"December 09, 22",-0.01465
2022-12-08,149.16,149.28,148.14,148.78,148.78,4503854,4503854,-0.38,-0.255,148.73333,"December 08, 22",-0.00255
2022-12-07,150.5,151.2100067,148.8200073,149.1100006,148.5500031,5850100,5850100,-1.95,-1.296,149.52667,"December 07, 22",-0.01296
2022-12-06,151.1999969,151.9100037,149.2100067,149.8899994,149.3270721,6875200,6875200,-1.87292,-1.239,150.14903,"December 06, 22",-0.01239
2022-12-05,152.75,153,150.5099945,151.6499939,151.0804596,7869400,7869400,-1.66954,-1.093,151.53015,"December 05, 22",-0.01093
2022-12-02,151.4799957,153.2400055,151.4799957,153.2200012,152.6445618,6910600,6910600,1.16457,0.769,152.45485,"December 02, 22",0.00769
2022-12-01,152.0500031,153.6100006,150.7299957,153.3699951,152.7939911,7577400,7577400,0.74399,0.489,152.378,"December 01, 22",0.00489
2022-11-30,152.6100006,152.7700043,151.1999969,152.4199982,151.8475647,10442600,10442600,-0.76244,-0.5,151.93919,"November 30, 22",-0.005
2022-11-29,153.0299988,153.7100067,152.5500031,152.9700012,152.3955078,4613900,4613900,-0.63449,-0.415,152.88517,"November 29, 22",-0.00415
2022-11-28,152.7200012,154.6399994,152.7200012,153.5099945,152.9334717,5891600,5891600,0.21347,0.14,153.43116,"November 28, 22",0.0014
2022-11-25,152.1199951,153.0899963,151.8600006,153.0700073,152.4951324,2925800,2925800,0.37514,0.247,152.48171,"November 25, 22",0.00247
2022-11-23,152.0800018,153.3699951,151.8800049,152.4199982,151.8475647,5640200,5640200,-0.23244,-0.153,152.36585,"November 23, 22",-0.00153
2022-11-22,152,152.4499969,151.1199951,151.6900024,151.1203156,5632800,5632800,-0.87968,-0.579,151.56344,"November 22, 22",-0.00579
2022-11-21,150.6100006,152.1399994,150.1900024,151.1499939,150.5823364,7052400,7052400,-0.02766,-0.018,150.97078,"November 21, 22",-0.00018
2022-11-18,149.6699982,150.2400055,148.7700043,150.2299957,149.6657867,6329000,6329000,-0.00421,-0.003,149.5586,"November 18, 22",-3e-05
2022-11-17,147.0099945,148.7299957,146.7100067,148,147.4441681,8263800,8263800,0.43417,0.295,147.62806,"November 17, 22",0.00295
2022-11-16,147.8800049,150.1999969,147.1199951,148.5,147.9422913,10864400,10864400,0.06229,0.042,148.42076,"November 16, 22",0.00042
2022-11-15,145.6100006,150.2700043,144.5500031,147.4400024,146.8862762,25516200,25516200,1.27628,0.877,147.23543,"November 15, 22",0.00877
2022-11-14,141.6399994,143.3200073,138.2700043,138.3899994,137.8702545,12508600,12508600,-3.76974,-2.661,139.82009,"November 14, 22",-0.02661
2022-11-11,142.6699982,143.1199951,139.9900055,142.5800018,142.0445251,6423600,6423600,-0.62547,-0.438,141.71818,"November 11, 22",-0.00438
2022-11-10,142.5099945,142.6900024,140.5,142.3600006,141.8253479,6770200,6770200,-0.68465,-0.48,141.67178,"November 10, 22",-0.0048
2022-11-09,142.7599945,143.1600037,139.2100067,139.4700012,138.9461975,5310700,5310700,-3.8138,-2.671,140.43874,"November 09, 22",-0.02671
2022-11-08,142.5800018,144.0700073,141.5099945,142.7899933,142.2537231,5022800,5022800,-0.32628,-0.229,142.61124,"November 08, 22",-0.00229
2022-11-07,141.2599945,142.9700012,141.2599945,142.4499969,141.9150085,3788000,3788000,0.65501,0.464,142.04833,"November 07, 22",0.00464
2022-11-04,142.0299988,142.2100067,138.7899933,140.9700012,140.440567,4889800,4889800,-1.58943,-1.119,140.48019,"November 04, 22",-0.01119
2022-11-03,139.5099945,141.7100067,139.0800018,140.7200012,140.1915131,3658800,3658800,0.68152,0.489,140.32717,"November 03, 22",0.00489
2022-11-02,141.1600037,143.5700073,140.6999969,140.75,140.2213898,5174000,5174000,-0.93861,-0.665,141.49713,"November 02, 22",-0.00665
2022-11-01,142.9700012,143.5500031,141.5,141.6900024,141.1578674,4938100,4938100,-1.81213,-1.267,142.06929,"November 01, 22",-0.01267
2022-10-31,142.3399963,143.0700073,141.7700043,142.3300018,141.7954559,7524000,7524000,-0.54454,-0.383,142.21182,"October 31, 22",-0.00383
2022-10-28,140.0500031,142.8999939,140.0399933,142.5099945,141.9747772,4549400,4549400,1.92477,1.374,141.63825,"October 28, 22",0.01374
2022-10-27,141.0099945,142.1000061,140.2899933,140.7299957,140.2014618,5534300,5534300,-0.80853,-0.573,140.86382,"October 27, 22",-0.00573
2022-10-26,140.3600006,142.0399933,139.8200073,141.1399994,140.6099243,6918100,6918100,0.24992,0.178,140.82331,"October 26, 22",0.00178
