Date,Open,High,Low,Close,Adj Close,Volume
1998-01-20,77.812500,78.843750,77.406250,78.812500,46.613510,1744600
1998-01-21,78.093750,78.375000,77.281250,77.843750,46.040550,1839600
1998-01-22,77.187500,77.859375,76.937500,77.187500,45.652458,1662600
1998-01-23,77.500000,77.750000,76.312500,77.000000,45.541500,1693700
1998-01-26,77.375000,77.671875,76.937500,77.312500,45.726353,1172800
1998-01-27,77.125000,78.562500,77.078125,78.218750,46.262333,1454500
1998-01-28,78.375000,79.234375,78.218750,79.125000,46.798344,1181200
1998-01-29,79.062500,80.250000,78.890625,79.406250,46.964676,1468500
1998-01-30,79.937500,79.937500,78.968750,79.234375,46.863014,1095600
1998-02-02,80.625000,81.312500,80.406250,81.015625,47.916569,955600
1998-02-03,81.000000,81.671875,80.656250,81.656250,48.295471,619400
1998-02-04,81.218750,81.656250,80.812500,81.218750,48.036652,753200
1998-02-05,81.812500,81.906250,80.734375,81.234375,48.045944,1067600
1998-02-06,81.500000,82.171875,81.359375,82.109375,48.563457,1069700
1998-02-09,82.093750,82.250000,81.437500,81.781250,48.369343,515900
1998-02-10,82.031250,83.343750,81.921875,83.156250,49.182655,892100
1998-02-11,82.968750,83.390625,82.843750,83.156250,49.182655,515000
1998-02-12,82.734375,84.109375,82.375000,83.687500,49.496849,1065000
1998-02-13,83.343750,83.843750,83.171875,83.640625,49.469112,596700
1998-02-17,84.312500,84.718750,83.890625,84.062500,49.718647,840600
1998-02-18,84.078125,84.703125,83.843750,84.625000,50.051277,773000
1998-02-19,84.640625,84.703125,83.828125,83.828125,49.580048,804800
1998-02-20,84.078125,84.468750,83.312500,84.281250,49.848022,540600
1998-02-23,85.000000,85.000000,83.968750,84.250000,49.829472,639200
1998-02-24,84.125000,84.406250,83.531250,84.000000,49.681641,702700
1998-02-25,84.250000,85.156250,84.078125,84.687500,50.088234,687400
1998-02-26,84.609375,85.218750,84.406250,85.156250,50.365559,439800
1998-02-27,85.109375,85.953125,84.890625,85.593750,50.624237,451300
1998-03-02,85.750000,85.859375,85.281250,85.718750,50.698181,1062800
