date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,324.52,328.83,322.81,328.62,328.62,1762046,1762046,4.1,1.263,326.75333,"January 20, 23",0.01263
2023-01-19,324,325.51,321.46,324.54,324.54,2703636,2703636,0.54,0.167,323.83667,"January 19, 23",0.00167
2023-01-18,333.5,333.95,324.18,324.34,324.34,2945830,2945830,-9.16,-2.747,327.49,"January 18, 23",-0.02747
2023-01-17,335.49,336.31,329.82,330,330,1714750,1714750,-5.49,-1.636,332.04333,"January 17, 23",-0.01636
2023-01-13,330,334.72,330,334.11,334.11,1876511,1876511,4.11,1.245,332.94333,"January 13, 23",0.01245
2023-01-12,328.21,329.6,325.835,328.91,328.91,1277502,1277502,0.7,0.213,328.115,"January 12, 23",0.00213
2023-01-11,326.08,329.7,324.955,329.62,329.62,1599068,1599068,3.54,1.086,328.09167,"January 11, 23",0.01086
2023-01-10,322.39,323.24,319.37,322.03,322.03,1613551,1613551,-0.36,-0.112,321.54667,"January 10, 23",-0.00112
2023-01-09,322.27,325.07,320.12,321.92,321.92,2471352,2471352,-0.35,-0.109,322.37,"January 09, 23",-0.00109
2023-01-06,307.82,317.14,307.57,316.16,316.16,2525045,2525045,8.34,2.709,313.62333,"January 06, 23",0.02709
2023-01-05,305.27,307.905,302.17,305.49,305.49,3133887,3133887,0.22,0.072,305.18833,"January 05, 23",0.00072
2023-01-04,318.72,320.245,315.07,316.77,316.77,2019125,2019125,-1.95,-0.612,317.36167,"January 04, 23",-0.00612
2023-01-03,317.67,322,314.49,318.35,318.35,2374404,2374404,0.68,0.214,318.28,"January 03, 23",0.00214
2022-12-30,326.16,326.95,323.21,326.18,326.18,1238144,1238144,0.02,0.006,325.44667,"December 30, 22",6e-05
2022-12-29,329.38,330.9,328.41,329.75,329.75,872423,872423,0.37,0.112,329.68667,"December 29, 22",0.00112
2022-12-28,328.84,330.43,325.61,325.91,325.91,756900,756900,-2.93,-0.891,327.31667,"December 28, 22",-0.00891
2022-12-27,330.66,332.09,328.29,328.95,328.95,682797,682797,-1.71,-0.517,329.77667,"December 27, 22",-0.00517
2022-12-23,326.18,329.61,325.58,329.33,329.33,636347,636347,3.15,0.966,328.17333,"December 23, 22",0.00966
2022-12-22,326.33,327.78,323.12,327.66,327.66,950790,950790,1.33,0.408,326.18667,"December 22, 22",0.00408
2022-12-21,326.06,330.32,326.06,328.67,328.67,1723867,1723867,2.61,0.8,328.35,"December 21, 22",0.008
2022-12-20,328.03,330.9,326.34,328.93,328.93,1311747,1311747,0.9,0.274,328.72333,"December 20, 22",0.00274
2022-12-19,329,330.5,326.2,327.05,327.05,1254635,1254635,-1.95,-0.593,327.91667,"December 19, 22",-0.00593
2022-12-16,327.56,329.94,324.03,329.63,329.63,3857405,3857405,2.07,0.632,327.86667,"December 16, 22",0.00632
2022-12-15,336.4,336.8,328.6019,330.8,330.8,1882250,1882250,-5.6,-1.665,332.0673,"December 15, 22",-0.01665
2022-12-14,343.05,345.455,340,342.01,342.01,1752783,1752783,-1.04,-0.303,342.48833,"December 14, 22",-0.00303
2022-12-13,346.05,347.55,340.46,342.45,342.45,1969435,1969435,-3.6,-1.04,343.48667,"December 13, 22",-0.0104
2022-12-12,336.02,336.81,333.615,336.05,336.05,1246978,1246978,0.03,0.009,335.49167,"December 12, 22",9e-05
2022-12-09,334.72,335.75,332.19,332.21,332.21,1262973,1262973,-2.51,-0.75,333.38333,"December 09, 22",-0.0075
2022-12-08,331.29,335.19,330.91,334.63,334.63,752407,752407,3.34,1.008,333.57667,"December 08, 22",0.01008
2022-12-07,332.07,333.93,329.58,331.4,331.4,1458000,1458000,-0.67,-0.202,331.63667,"December 07, 22",-0.00202
2022-12-06,334.92,335.65,329.51,331.5,331.5,963241,963241,-3.42,-1.021,332.22,"December 06, 22",-0.01021
