date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-23,138.12,143.31,137.9,141.11,141.11,79731496,79728676,2.99,2.165,140.77333,"January 23, 23",0.02165
2023-01-20,135.28,138.02,134.22,137.87,137.87,79976532,79972200,2.59,1.915,136.70333,"January 20, 23",0.01915
2023-01-19,134.08,136.25,133.77,135.27,135.27,58170447,58169700,1.19,0.888,135.09667,"January 19, 23",0.00888
2023-01-18,136.815,138.61,135.03,135.21,135.21,69460804,69459809,-1.605,-1.173,136.28333,"January 18, 23",-0.01173
2023-01-17,134.83,137.29,134.13,135.94,135.94,63507331,63502900,1.11,0.823,135.78667,"January 17, 23",0.00823
2023-01-13,132.03,134.92,131.66,134.76,134.76,57762626,57758000,2.73,2.068,133.78,"January 13, 23",0.02068
2023-01-12,133.88,134.26,131.44,133.41,133.41,71328068,71326100,-0.47,-0.351,133.03667,"January 12, 23",-0.00351
2023-01-11,131.25,133.51,130.46,133.49,133.49,69359847,69359700,2.24,1.707,132.48667,"January 11, 23",0.01707
2023-01-10,130.26,131.26,128.12,130.73,130.73,63808299,63803400,0.47,0.361,130.03667,"January 10, 23",0.00361
2023-01-09,130.47,133.41,129.89,130.15,130.15,70676648,70675200,-0.32,-0.245,131.15,"January 09, 23",-0.00245
2023-01-06,126.01,130.29,124.89,129.62,129.62,87694757,87686600,3.61,2.865,128.26667,"January 06, 23",0.02865
2023-01-05,127.13,127.77,124.76,125.02,125.02,80835742,80829600,-2.11,-1.66,125.85,"January 05, 23",-0.0166
2023-01-04,126.89,128.66,125.08,126.36,126.36,88891475,88886500,-0.53,-0.418,126.7,"January 04, 23",-0.00418
2023-01-03,130.28,130.9,124.17,125.07,125.07,111977157,111975500,-5.21,-3.999,126.71333,"January 03, 23",-0.03999
2022-12-30,128.41,129.95,127.43,129.93,129.93,76967327,76960600,1.52,1.184,129.10333,"December 30, 22",0.01184
2022-12-29,127.9899979,130.4799957,127.7300034,129.6100006,129.6100006,75703700,75703700,1.62,1.266,129.27333,"December 29, 22",0.01266
2022-12-28,129.6699982,131.0299988,125.8700027,126.0400009,126.0400009,85438400,85438400,-3.63,-2.799,127.64667,"December 28, 22",-0.02799
2022-12-27,131.3800049,131.4100037,128.7200012,130.0299988,130.0299988,69007800,69007800,-1.35001,-1.028,130.05333,"December 27, 22",-0.01028
2022-12-23,130.9199982,132.4199982,129.6399994,131.8600006,131.8600006,63771000,63771000,0.94,0.718,131.30667,"December 23, 22",0.00718
2022-12-22,134.3500061,134.5599976,130.3000031,132.2299957,132.2299957,77852100,77852100,-2.12001,-1.578,132.36333,"December 22, 22",-0.01578
2022-12-21,132.9799957,136.8099976,132.75,135.4499969,135.4499969,85928000,85928000,2.47,1.857,135.00333,"December 21, 22",0.01857
2022-12-20,131.3899994,133.25,129.8899994,132.3000031,132.3000031,77432800,77432800,0.91,0.693,131.81333,"December 20, 22",0.00693
2022-12-19,135.1100006,135.1999969,131.3200073,132.3699951,132.3699951,79592600,79592600,-2.74001,-2.028,132.96333,"December 19, 22",-0.02028
2022-12-16,136.6900024,137.6499939,133.7299957,134.5099945,134.5099945,160080100,160080100,-2.18001,-1.595,135.29666,"December 16, 22",-0.01595
2022-12-15,141.1100006,141.8000031,136.0299988,136.5,136.5,98931900,98931900,-4.61,-3.267,138.11,"December 15, 22",-0.03267
2022-12-14,145.3500061,146.6600037,141.1600037,143.2100067,143.2100067,82291200,82291200,-2.14,-1.472,143.67667,"December 14, 22",-0.01472
2022-12-13,149.5,149.9700012,144.2400055,145.4700012,145.4700012,93886200,93886200,-4.03,-2.696,146.56,"December 13, 22",-0.02696
2022-12-12,142.6999969,144.5,141.0599976,144.4900055,144.4900055,70462700,70462700,1.79001,1.254,143.35,"December 12, 22",0.01254
2022-12-09,142.3399963,145.5700073,140.8999939,142.1600037,142.1600037,76069500,76069500,-0.17999,-0.126,142.87667,"December 09, 22",-0.00126
2022-12-08,142.3600006,143.5200043,141.1000061,142.6499939,142.6499939,62128300,62128300,0.28999,0.204,142.42333,"December 08, 22",0.00204
2022-12-07,142.1900024,143.3699951,140,140.9400024,140.9400024,69721100,69721100,-1.25,-0.879,141.43667,"December 07, 22",-0.00879
2022-12-06,147.0700073,147.3000031,141.9199982,142.9100037,142.9100037,64727200,64727200,-4.16,-2.829,144.04333,"December 06, 22",-0.02829
2022-12-05,147.7700043,150.9199982,145.7700043,146.6300049,146.6300049,68826400,68826400,-1.14,-0.771,147.77334,"December 05, 22",-0.00771
2022-12-02,145.9600067,148,145.6499939,147.8099976,147.8099976,65421400,65421400,1.84999,1.267,147.15333,"December 02, 22",0.01267
2022-12-01,148.2100067,149.1300049,146.6100006,148.3099976,148.3099976,71250400,71250400,0.09999,0.067,148.01667,"December 01, 22",0.00067
2022-11-30,141.3999939,148.7200012,140.5500031,148.0299988,148.0299988,111224400,111224400,6.63,4.689,145.76667,"November 30, 22",0.04689
2022-11-29,144.2899933,144.8099976,140.3500061,141.1699982,141.1699982,83763800,83763800,-3.12,-2.162,142.11,"November 29, 22",-0.02162
2022-11-28,145.1399994,146.6399994,143.3800049,144.2200012,144.2200012,69246000,69246000,-0.92,-0.634,144.74667,"November 28, 22",-0.00634
2022-11-25,148.3099976,148.8800049,147.1199951,148.1100006,148.1100006,35195900,35195900,-0.2,-0.135,148.03667,"November 25, 22",-0.00135
2022-11-23,149.4499969,151.8300018,149.3399963,151.0700073,151.0700073,58301400,58301400,1.62001,1.084,150.74667,"November 23, 22",0.01084
2022-11-22,148.1300049,150.4199982,146.9299927,150.1799927,150.1799927,51804100,51804100,2.04999,1.384,149.17666,"November 22, 22",0.01384
2022-11-21,150.1600037,150.3699951,147.7200012,148.0099945,148.0099945,58724100,58724100,-2.15001,-1.432,148.7,"November 21, 22",-0.01432
2022-11-18,152.3099976,152.6999969,149.9700012,151.2899933,151.2899933,74829600,74829600,-1.02,-0.67,151.32,"November 18, 22",-0.0067
2022-11-17,146.4299927,151.4799957,146.1499939,150.7200012,150.7200012,80389400,80389400,4.29001,2.93,149.45,"November 17, 22",0.0293
2022-11-16,149.1300049,149.8699951,147.2899933,148.7899933,148.7899933,64218300,64218300,-0.34001,-0.228,148.64999,"November 16, 22",-0.00228
2022-11-15,152.2200012,153.5899963,148.5599976,150.0399933,150.0399933,89868300,89868300,-2.18001,-1.432,150.73,"November 15, 22",-0.01432
2022-11-14,148.9700012,150.2799988,147.4299927,148.2799988,148.2799988,73374100,73374100,-0.69,-0.463,148.66333,"November 14, 22",-0.00463
2022-11-11,145.8200073,150.0099945,144.3699951,149.6999969,149.6999969,93979700,93979700,3.87999,2.661,148.02666,"November 11, 22",0.02661
2022-11-10,141.2400055,146.8699951,139.5,146.8699951,146.8699951,118854000,118854000,5.62999,3.986,144.41333,"November 10, 22",0.03986
