date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-24,167.91,169.99,167.36,168.86,168.86,2398987,2398864,0.95,0.566,168.73667,"January 24, 23",0.00566
2023-01-23,166.54,170.25,165.62,169.66,169.66,3522111,3521900,3.12,1.873,168.51,"January 23, 23",0.01873
2023-01-20,163.82,165.24,161.04,165.17,165.17,3842277,3841900,1.35,0.824,163.81667,"January 20, 23",0.00824
2023-01-19,165.56,165.64,162.1,163.13,163.13,3082277,3082000,-2.43,-1.468,163.62333,"January 19, 23",-0.01468
2023-01-18,168.53,169.38,165.9,166,166,2627738,2627700,-2.53,-1.501,167.09333,"January 18, 23",-0.01501
2023-01-17,167.91,169.17,166.05,166.91,166.91,3320371,3320200,-1,-0.596,167.37667,"January 17, 23",-0.00596
2023-01-13,167.5,169.43,166.42,168.98,168.98,1891277,1891200,1.48,0.884,168.27667,"January 13, 23",0.00884
2023-01-12,170.02,170.64,167.16,168.67,168.67,2478150,2478100,-1.35,-0.794,168.82333,"January 12, 23",-0.00794
2023-01-11,167.72,170.13,167.31,169.79,169.79,3069024,3068900,2.07,1.234,169.07667,"January 11, 23",0.01234
2023-01-10,166.5,169.75,166.5,169.22,169.22,2351968,2351900,2.72,1.634,168.49,"January 10, 23",0.01634
2023-01-09,167.39,169.91,165.68,167.1,167.1,3734374,3734100,-0.29,-0.173,167.56333,"January 09, 23",-0.00173
2023-01-06,161.76,166.75,159.93,165.52,165.52,3483688,3483400,3.76,2.324,164.06667,"January 06, 23",0.02324
2023-01-05,164.47,165.63,159.58,159.69,159.69,4750772,4750300,-4.78,-2.906,161.63333,"January 05, 23",-0.02906
2023-01-04,165.38,167.59,163.79,165.91,165.91,3478025,3477922,0.53,0.32,165.76333,"January 04, 23",0.0032
2023-01-03,165.57,166.2,161.44,162.45,162.45,4476029,4475700,-3.12,-1.884,163.36333,"January 03, 23",-0.01884
2022-12-30,162.36,164.16,160.76,164.03,164.03,1619524,1619400,1.67,1.029,162.98333,"December 30, 22",0.01029
2022-12-29,162.58,164.78,161.5,163.98,163.98,2149022,2148900,1.4,0.861,163.42,"December 29, 22",0.00861
2022-12-28,161.5,163.57,160.06,160.28,160.28,1500002,1499900,-1.22,-0.755,161.30333,"December 28, 22",-0.00755
2022-12-27,163.57,163.7,161.15,162.2,162.2,1932125,1932000,-1.37,-0.838,162.35,"December 27, 22",-0.00838
2022-12-23,162.7,164.12,161.25,163.84,163.84,1498015,1498000,1.14,0.701,163.07,"December 23, 22",0.00701
2022-12-22,164.83,164.83,161.06,163.75,163.75,2972231,2972000,-1.08,-0.655,163.21333,"December 22, 22",-0.00655
2022-12-21,165.38,167.82,165.33,167.41,167.41,2181425,2181351,2.03,1.227,166.85333,"December 21, 22",0.01227
2022-12-20,163.72,165.81,163.56,164.33,164.33,2102362,2102300,0.61,0.373,164.56667,"December 20, 22",0.00373
2022-12-19,167.44,167.49,163.75,165.14,165.14,2621895,2621800,-2.3,-1.374,165.46,"December 19, 22",-0.01374
2022-12-16,165.28,167.25,164.07,166.82,166.82,7412586,7411900,1.54,0.932,166.04667,"December 16, 22",0.00932
2022-12-15,169.22,169.77,165.49,166.09,166.09,3985258,3985000,-3.13,-1.85,167.11667,"December 15, 22",-0.0185
2022-12-14,175.87,176.8505,170.11,171.68,171.68,3202681,3202492,-4.19,-2.382,172.88017,"December 14, 22",-0.02382
2022-12-13,178.01,179.95,173.68,175.49,175.49,4778439,4778100,-2.52,-1.416,176.37333,"December 13, 22",-0.01416
2022-12-12,169.17,172.31,167.74,172.26,172.26,2966977,2966840,3.09,1.827,170.77,"December 12, 22",0.01827
2022-12-09,168.47,170.36,167.9,168.68,168.68,2514918,2514900,0.21,0.125,168.98,"December 09, 22",0.00125
2022-12-08,167.07,169.8,165.92,169.65,169.65,2836567,2836300,2.58,1.544,168.45667,"December 08, 22",0.01544
2022-12-07,166.29,168.48,165.01,166.01,166.01,1881715,1881600,-0.28,-0.168,166.5,"December 07, 22",-0.00168
2022-12-06,167.75,168.45,165.3,166.51,166.51,3572498,3572231,-1.24,-0.739,166.75333,"December 06, 22",-0.00739
2022-12-05,167.86,168.9,166.78,167.84,167.84,2615885,2615764,-0.02,-0.012,167.84,"December 05, 22",-0.00012
2022-12-02,167.2,168.79,165.24,168.63,168.63,3055504,3055200,1.43,0.855,167.55333,"December 02, 22",0.00855
