date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,109.38,109.99,108.65,109.94,109.94,9209593,9209593,0.56,0.512,109.52667,"January 20, 23",0.00512
2023-01-19,108.44,110.18,108.1,109.9,109.9,6772624,6772624,1.46,1.346,109.39333,"January 19, 23",0.01346
2023-01-18,109.92,110.1,108.58,108.79,108.79,8797061,8797061,-1.13,-1.028,109.15667,"January 18, 23",-0.01028
2023-01-17,112.03,112.49,110.32,110.45,110.45,10240422,10240422,-1.58,-1.41,111.08667,"January 17, 23",-0.0141
2023-01-13,111.2,112.44,110.95,112.25,112.25,5758084,5758084,1.05,0.944,111.88,"January 13, 23",0.00944
2023-01-12,110.92,112.1,110.03,111.77,111.77,8914410,8914410,0.85,0.766,111.3,"January 12, 23",0.00766
2023-01-11,109.34,111.31,108.75,111.07,111.07,8626343,8626343,1.73,1.582,110.37667,"January 11, 23",0.01582
2023-01-10,110.56,112.01,109.88,110.81,110.81,12114088,12114088,0.25,0.226,110.9,"January 10, 23",0.00226
2023-01-09,114.88,114.93,109.94,110.38,110.38,12857013,12857013,-4.5,-3.917,111.75,"January 09, 23",-0.03917
2023-01-06,114.32,115.49,114.05,114.84,114.84,8631834,8631834,0.52,0.455,114.79333,"January 06, 23",0.00455
2023-01-05,111.59,113.91,111.42,113.64,113.64,9576839,9576839,2.05,1.837,112.99,"January 05, 23",0.01837
2023-01-04,112.32,112.61,111.24,112.08,112.08,8697742,8697742,-0.24,-0.214,111.97667,"January 04, 23",-0.00214
2023-01-03,110.41,111.2,109.49,111.14,111.14,8063041,8063041,0.73,0.661,110.61,"January 03, 23",0.00661
2022-12-30,111.23,111.42,110.12,110.95,110.95,5498304,5498304,-0.28,-0.252,110.83,"December 30, 22",-0.00252
2022-12-29,111.39,111.7,110.75,110.82,110.82,4467220,4467220,-0.57,-0.512,111.09,"December 29, 22",-0.00512
2022-12-28,112.89,112.89,111.06,111.08,111.08,5107560,5107560,-1.81,-1.603,111.67667,"December 28, 22",-0.01603
2022-12-27,112.41,112.59,111.53,112.12,112.12,5126201,5126201,-0.29,-0.258,112.08,"December 27, 22",-0.00258
2022-12-23,111.25,112.13,110.87,111.86,111.86,4546535,4546535,0.61,0.548,111.62,"December 23, 22",0.00548
2022-12-22,110.9,111.69,110.21,111.24,111.24,8374017,8374017,0.34,0.307,111.04667,"December 22, 22",0.00307
2022-12-21,110.1,111.19,109.54,111.11,111.11,6640870,6640870,1.01,0.917,110.61333,"December 21, 22",0.00917
2022-12-20,109.94,110.66,109.16,109.71,109.71,8022042,8022042,-0.23,-0.209,109.84333,"December 20, 22",-0.00209
2022-12-19,109.19,110.1,108.77,109.44,109.44,6949649,6949649,0.25,0.229,109.43667,"December 19, 22",0.00229
2022-12-16,109.24,109.7,108.27,109.2,109.2,29468478,29468478,-0.04,-0.037,109.05667,"December 16, 22",-0.00037
2022-12-15,110.24,110.77,109.23,109.63,109.63,9852739,9852739,-0.61,-0.553,109.87667,"December 15, 22",-0.00553
2022-12-14,110.5199966,112.1699982,110.0400009,111.5500031,111.5500031,10787400,10787400,1.03001,0.932,111.25333,"December 14, 22",0.00932
2022-12-13,111.2600021,111.2600021,109,110.9100037,110.1800079,15836900,15836900,-1.07999,-0.971,110.14667,"December 13, 22",-0.00971
2022-12-12,107.9300003,109.0999985,107.3199997,108.9700012,108.2527695,10956600,10956600,0.32277,0.299,108.22426,"December 12, 22",0.00299
2022-12-09,110.9800034,111.3700027,108.75,108.7799988,108.0640182,9667500,9667500,-2.91599,-2.627,109.39467,"December 09, 22",-0.02627
2022-12-08,110.2799988,111.0199966,110.1200027,110.8499985,110.1203918,7354800,7354800,-0.15961,-0.145,110.42013,"December 08, 22",-0.00145
2022-12-07,109.1500015,110.7099991,109,110.0899963,109.3653946,8270400,8270400,0.21539,0.197,109.6918,"December 07, 22",0.00197
2022-12-06,110.3600006,110.7600021,108.4199982,108.9300003,108.2130356,7458700,7458700,-2.14697,-1.945,109.13101,"December 06, 22",-0.01945
2022-12-05,109.8099976,110.2300034,109.2099991,110.0100021,109.2859268,6961900,6961900,-0.52407,-0.477,109.57531,"December 05, 22",-0.00477
2022-12-02,109,110.0899963,108.7099991,110.0400009,109.3157272,6942900,6942900,0.31573,0.29,109.37191,"December 02, 22",0.0029
2022-12-01,109.75,110.9800034,108.7699966,109.8000031,109.0773087,10110500,10110500,-0.67269,-0.613,109.6091,"December 01, 22",-0.00613
2022-11-30,108.6999969,110.3300018,107.6299973,110.1200027,109.3952026,20304600,20304600,0.69521,0.64,109.1184,"November 30, 22",0.0064
2022-11-29,108,109.0599976,107.5500031,108.8399963,108.1236191,9352400,9352400,0.12362,0.114,108.24454,"November 29, 22",0.00114
2022-11-28,107.1299973,108.9000015,107.1299973,108.4499969,107.7361908,9524500,9524500,0.60619,0.566,107.92206,"November 28, 22",0.00566
2022-11-25,106.5599976,107.5,106.5599976,107.5,106.7924423,3163700,3163700,0.23244,0.218,106.95081,"November 25, 22",0.00218
2022-11-23,106.75,107.3000031,106.3000031,106.8199997,106.1169205,5749600,5749600,-0.63308,-0.593,106.57231,"November 23, 22",-0.00593
2022-11-22,106.1299973,107.0999985,106.0500031,106.9000015,106.1963959,8295700,8295700,0.0664,0.063,106.4488,"November 22, 22",0.00063
2022-11-21,105,105.8700027,104.2300034,105.6100006,104.9148865,8899300,8899300,-0.08511,-0.081,105.00496,"November 21, 22",-0.00081
2022-11-18,102.6299973,104.5999985,102.6299973,104.2300034,103.5439682,11626300,11626300,0.91397,0.891,103.59132,"November 18, 22",0.00891
2022-11-17,100.4100037,102.3499985,100.2699966,102.3099976,101.6366043,8496800,8496800,1.2266,1.222,101.41887,"November 17, 22",0.01222
2022-11-16,99.5800018,100.8000031,99.4899979,99.9300003,99.2722702,8757700,8757700,-0.30773,-0.309,99.85409,"November 16, 22",-0.00309
2022-11-15,100.4000015,100.7399979,98.7099991,99.5999985,98.9444427,7965900,7965900,-1.45556,-1.45,99.46481,"November 15, 22",-0.0145
2022-11-14,98.6999969,101.6900024,98.6999969,100.3499985,99.6895065,8958200,8958200,0.98951,1.003,100.0265,"November 14, 22",0.01003
2022-11-11,100.5299988,100.8099976,97.3300018,97.9599991,97.315239,13342800,13342800,-3.21476,-3.198,98.48508,"November 11, 22",-0.03198
2022-11-10,102.6999969,102.8099976,100.5999985,101.8899994,101.219368,9556000,9556000,-1.48063,-1.442,101.54312,"November 10, 22",-0.01442
2022-11-09,101.3000031,103.7600021,101.2799988,101.5899963,100.9213409,10602900,10602900,-0.37866,-0.374,101.98711,"November 09, 22",-0.00374
2022-11-08,100.0699997,101.9700012,99.5299988,101.5,100.8319397,8503900,8503900,0.76194,0.761,100.77731,"November 08, 22",0.00761
2022-11-07,98.5,100.3600006,97.6699982,100.0699997,99.4113464,8644500,8644500,0.91135,0.925,99.14712,"November 07, 22",0.00925
