date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,159.63,162.75,158.5,162.21,162.21,3043883,3043883,2.58,1.616,161.15333,"January 20, 23",0.01616
2023-01-19,159.5,160.61,157.53,159.1,159.1,2881616,2881616,-0.4,-0.251,159.08,"January 19, 23",-0.00251
2023-01-18,163.41,165.19,160.63,160.83,160.83,2798180,2798180,-2.58,-1.579,162.21667,"January 18, 23",-0.01579
2023-01-17,164.49,165.69,162.07,162.1,162.1,3528028,3528028,-2.39,-1.453,163.28667,"January 17, 23",-0.01453
2023-01-13,159.325,164.93,159.13,164.6,164.6,5161495,5161495,5.275,3.311,162.88667,"January 13, 23",0.03311
2023-01-12,160,160.25,156.475,159.75,159.75,3222703,3222703,-0.25,-0.156,158.825,"January 12, 23",-0.00156
2023-01-11,157.15,159,155.895,158.97,158.97,3146767,3146767,1.82,1.158,157.955,"January 11, 23",0.01158
2023-01-10,157.42,157.535,154.84,155.97,155.97,2555075,2555075,-1.45,-0.921,156.115,"January 10, 23",-0.00921
2023-01-09,159.88,160.37,156.34,156.35,156.35,3854162,3854162,-3.53,-2.208,157.68667,"January 09, 23",-0.02208
2023-01-06,157.65,161.06,156.88,160.15,160.15,4944249,4944249,2.5,1.586,159.36333,"January 06, 23",0.01586
2023-01-05,152.21,154.51,150.29,154.26,154.26,3266347,3266347,2.05,1.347,153.02,"January 05, 23",0.01347
2023-01-04,148.26,154.32,147.6771,152.72,152.72,4443527,4443527,4.46,3.008,151.57237,"January 04, 23",0.03008
2023-01-03,149.975,152.64,149.58,151.73,151.73,3685226,3685226,1.755,1.17,151.31667,"January 03, 23",0.0117
2022-12-30,147.23,149.08,146.8,149.04,149.04,2391177,2391177,1.81,1.229,148.30667,"December 30, 22",0.01229
2022-12-29,146.97,149.655,146.88,148.37,148.37,2829206,2829206,1.4,0.953,148.30167,"December 29, 22",0.00953
2022-12-28,145.31,147.22,144.8471,145.8,145.8,2623299,2623299,0.49,0.337,145.9557,"December 28, 22",0.00337
2022-12-27,143,146.28,142.4,145.55,145.55,3112719,3112719,2.55,1.783,144.74333,"December 27, 22",0.01783
2022-12-23,140.86,143.27,139.88,143.15,143.15,2464817,2464817,2.29,1.626,142.1,"December 23, 22",0.01626
2022-12-22,141.5,141.71,139.68,141.35,141.35,3848778,3848778,-0.15,-0.106,140.91333,"December 22, 22",-0.00106
2022-12-21,142.26,144.19,141.97,142.3,142.3,3510382,3510382,0.04,0.028,142.82,"December 21, 22",0.00028
2022-12-20,142.9,143.96,142.45,143.25,143.25,3175701,3175701,0.35,0.245,143.22,"December 20, 22",0.00245
2022-12-19,146.6,147,143.56,144.65,144.65,4186983,4186983,-1.95,-1.33,145.07,"December 19, 22",-0.0133
2022-12-16,146.05,147.655,145.55,146.45,146.45,8367685,8367685,0.4,0.274,146.55167,"December 16, 22",0.00274
2022-12-15,149.86,150,145.3173,147.6,147.6,5417402,5417402,-2.26,-1.508,147.6391,"December 15, 22",-0.01508
2022-12-14,150.5,154.65,150.1401,152.51,152.51,3749263,3749263,2.01,1.336,152.43337,"December 14, 22",0.01336
