date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-09,100.77,101.9,100.77,101,101,5201215,4784006,0.23,0.22824,101.19,"May 09, 23",0.0022824
2023-05-08,100.22,101.11,100.22,100.92,100.919998,3410339,3417500,0.7,0.69846,100.8,"May 08, 23",0.0069846
2023-05-05,100.58,101.76,99.75,100.24,100.239998,5030249,5029000,-0.34,-0.33804,100.36,"May 05, 23",-0.0033804
2023-05-04,101.49,101.75,97.41,99.32,99.32,7226963,7227000,-2.17,-2.14,99.24,"May 04, 23",-0.0214
2023-05-03,101.88,102.95,101.31,101.77,101.769997,4722727,4722700,-0.11,-0.10797,101.97,"May 03, 23",-0.0010797
2023-05-02,100.61,102.0298,100.19,101.51,101.510002,5973679,5973700,0.9,0.89454,101.29,"May 02, 23",0.0089454
2023-05-01,99.49,102,99.37,101.18,101.18,5912435,5912400,1.69,1.7,101.07,"May 01, 23",0.017
2023-04-28,97.13,99.72,96.88,98.97,98.970001,5011348,5010800,1.84,1.89,98.88,"April 28, 23",0.0189
2023-04-27,97.02,98.19,96.6,98.06,98.059998,7460980,7461000,1.04,1.07,97.6,"April 27, 23",0.0107
2023-04-26,98.23,98.45,96.09,96.21,96.209999,6410510,6410500,-2.02,-2.06,97.13,"April 26, 23",-0.0206
2023-04-25,101.95,102.01,97.5501,98.44,98.440002,9297450,9297500,-3.51,-3.44,98.91,"April 25, 23",-0.0344
2023-04-24,99.58,100.77,99.58,100.15,100.150002,6251841,6251800,0.57,0.5724,100.17,"April 24, 23",0.005724
2023-04-21,99.98,100.08,99.13,99.51,99.510002,4080409,4080400,-0.47,-0.47009,99.61,"April 21, 23",-0.0047009
2023-04-20,99.3,100.47,99.061,99.76,99.760002,6912363,6912400,0.46,0.46324,99.69,"April 20, 23",0.0046324
2023-04-19,98.58,99.31,98.42,99.03,99.029999,5617031,5617000,0.45,0.45648,98.9,"April 19, 23",0.0045648
2023-04-18,97,98.52,96.86,98.47,98.470001,7110832,7110800,1.47,1.52,98.06,"April 18, 23",0.0152
2023-04-17,95.62,96.845,95.475,96.77,96.769997,6126077,6126100,1.15,1.2,96.33,"April 17, 23",0.012
2023-04-14,93.86,95.64,93.81,95.44,95.440002,5755636,5755600,1.58,1.68,95.04,"April 14, 23",0.0168
2023-04-13,94.38,94.69,93.47,94.3,94.300003,8814584,8814600,-0.08,-0.08476372,94.17,"April 13, 23",-0.0008476372
2023-04-12,94.26,94.67,93.81,94.1,94.099998,6997746,6997700,-0.16,-0.16974,94.21,"April 12, 23",-0.0016974
2023-04-11,94.51,94.96,93.88,93.91,93.910004,5317712,5317700,-0.6,-0.63485,94.36,"April 11, 23",-0.0063485
2023-04-10,93.83,94.99,93.61,94.36,94.360001,5985450,5985500,0.53,0.56485,94.31,"April 10, 23",0.0056485
2023-04-06,94.120003,94.389999,93.540001,93.599998,93.599998,6404900,6404900,-0.520005,-0.55249,93.84,"April 06, 23",-0.0055249
2023-04-05,94.980003,95.32,93.660004,94.25,94.25,8493400,8493400,-0.730003,-0.76859,94.41,"April 05, 23",-0.0076859
2023-04-04,96.959999,97.870003,94.669998,95.050003,95.050003,6827600,6827600,-1.91,-1.97,95.86,"April 04, 23",-0.0197
2023-04-03,95.75,96.940002,95.360001,96.919998,96.919998,4947700,4947700,1.17,1.22,96.41,"April 03, 23",0.0122
2023-03-31,94.529999,95.669998,94.309998,95.599998,95.599998,7380200,7380200,1.07,1.13,95.19,"March 31, 23",0.0113
2023-03-30,93.949997,94.309998,93.559998,94.050003,94.050003,5285800,5285800,0.100006,0.10645,93.97,"March 30, 23",0.0010645
2023-03-29,93.970001,94.419998,93.669998,94.059998,94.059998,4918000,4918000,0.089997,0.09577205,94.05,"March 29, 23",0.0009577205
2023-03-28,93.339996,93.739998,92.559998,93.139999,93.139999,4008900,4008900,-0.199997,-0.21427,93.15,"March 28, 23",-0.0021427
2023-03-27,92.279999,93.639999,92.110001,93.309998,93.309998,6005200,6005200,1.03,1.12,93.02,"March 27, 23",0.0112
2023-03-24,90.57,92.349998,90.32,91.370003,91.370003,6658400,6658400,0.800003,0.8833,91.35,"March 24, 23",0.008833
2023-03-23,90.629997,92.949997,90.529999,91.589996,91.589996,8647000,8647000,0.959999,1.06,91.69,"March 23, 23",0.0106
2023-03-22,92.489998,92.599998,89.550003,89.589996,89.589996,7011000,7011000,-2.9,-3.14,90.58,"March 22, 23",-0.0314
2023-03-21,90.980003,93.040001,90.959999,92.18,92.18,6826800,6826800,1.2,1.32,92.06,"March 21, 23",0.0132
2023-03-20,90.629997,91.230003,89.410004,89.919998,89.919998,6947600,6947600,-0.709999,-0.7834,90.19,"March 20, 23",-0.007834
2023-03-17,91.790001,91.830002,89.349998,90.290001,90.290001,10188100,10188100,-1.5,-1.63,90.49,"March 17, 23",-0.0163
2023-03-16,89.400002,92.099998,88.57,91.970001,91.970001,8127600,8127600,2.57,2.87,90.88,"March 16, 23",0.0287
2023-03-15,88.989998,89.760002,86.449997,89.760002,89.760002,12057300,12057300,0.770004,0.86527,88.66,"March 15, 23",0.0086527
2023-03-14,91.169998,93.080002,90.199997,91.169998,91.169998,11347500,11347500,0,0,91.48,"March 14, 23",0
2023-03-13,89.699997,90.730003,87.660004,88.970001,88.970001,11334000,11334000,-0.729996,-0.81382,89.12,"March 13, 23",-0.0081382
2023-03-10,91.900002,94.199997,90.790001,91,91,18477800,18477800,-0.900002,-0.97933,92,"March 10, 23",-0.0097933
2023-03-09,89.959999,94.940002,89.769997,91.559998,91.559998,28592300,28592300,1.6,1.78,92.09,"March 09, 23",0.0178
2023-03-08,86.769997,87.410004,86.07,86.980003,86.980003,6063900,6063900,0.210006,0.24203,86.82,"March 08, 23",0.0024203
2023-03-07,86.959999,87.580002,86.099998,86.389999,86.389999,6898200,6898200,-0.57,-0.65547,86.69,"March 07, 23",-0.0065547
