date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,57.49,58.99,56.22,57.35,57.35,18980116,18980116,-0.14,-0.244,57.52,"January 20, 23",-0.00244
2023-01-19,56.29,57.94,56.21,57.38,57.38,15274262,15274262,1.09,1.936,57.17667,"January 19, 23",0.01936
2023-01-18,58.94,59.45,57.03,57.13,57.13,11329377,11329377,-1.81,-3.071,57.87,"January 18, 23",-0.03071
2023-01-17,58.15,58.93,57.96,58.46,58.46,8466584,8466584,0.31,0.533,58.45,"January 17, 23",0.00533
2023-01-13,57.99,58.52,57.33,58.28,58.28,7341944,7341944,0.29,0.5,58.04333,"January 13, 23",0.005
2023-01-12,56.23,58.61,56.18,58,58,12856373,12856373,1.77,3.148,57.59667,"January 12, 23",0.03148
2023-01-11,55.95,56.75,55.73,56.32,56.32,8857193,8857193,0.37,0.661,56.26667,"January 11, 23",0.00661
2023-01-10,55.6,56.17,54.95,55.96,55.96,7079687,7079687,0.36,0.647,55.69333,"January 10, 23",0.00647
2023-01-09,55.28,56.28,55.1,55.64,55.64,12103690,12103690,0.36,0.651,55.67333,"January 09, 23",0.00651
2023-01-06,53.45,54.7,53.3,54.5,54.5,10166887,10166887,1.05,1.964,54.16667,"January 06, 23",0.01964
2023-01-05,51.66,53.21,51.66,52.67,52.67,6621952,6621952,1.01,1.955,52.51333,"January 05, 23",0.01955
2023-01-04,50.46,52.03,50.19,51.7,51.7,9069485,9069485,1.24,2.457,51.30667,"January 04, 23",0.02457
2023-01-03,52.86,53.59,50.36,51.5,51.5,8486177,8486177,-1.36,-2.573,51.81667,"January 03, 23",-0.02573
2022-12-30,52.52,53.55,52.4,53.46,53.46,4620292,4620292,0.94,1.79,53.13667,"December 30, 22",0.0179
2022-12-29,52.41,53.16,52.06,52.91,52.91,5200299,5200299,0.5,0.954,52.71,"December 29, 22",0.00954
2022-12-28,53.37,53.64,51.99,52.6,52.6,7193387,7193387,-0.77,-1.443,52.74333,"December 28, 22",-0.01443
2022-12-27,53.34,53.87,52.79,53.5,53.5,6201043,6201043,0.16,0.3,53.38667,"December 27, 22",0.003
2022-12-23,52.2,53,51.38,52.99,52.99,8078221,8078221,0.79,1.513,52.45667,"December 23, 22",0.01513
2022-12-22,53.32,53.53,50.13,51.39,51.39,7574588,7574588,-1.93,-3.62,51.68333,"December 22, 22",-0.0362
2022-12-21,52.85,53.59,51.92,53.31,53.31,9017284,9017284,0.46,0.87,52.94,"December 21, 22",0.0087
2022-12-20,49.95,52.09,49.82,51.76,51.76,11493847,11493847,1.81,3.624,51.22333,"December 20, 22",0.03624
2022-12-19,49.96,50.54,49.42,49.83,49.83,7447256,7447256,-0.13,-0.26,49.93,"December 19, 22",-0.0026
2022-12-16,48.95,49.46,48.25,49.38,49.38,22945712,22945712,0.43,0.878,49.03,"December 16, 22",0.00878
2022-12-15,50.12,50.45,49.35,50.11,50.11,11048474,11048474,-0.01,-0.02,49.97,"December 15, 22",-0.0002
2022-12-14,51.33,51.555,49.935,50.43,50.43,10212437,10212437,-0.9,-1.753,50.64,"December 14, 22",-0.01753
2022-12-13,50.25,51.38,49.95,51.05,51.05,11659052,11659052,0.8,1.592,50.79333,"December 13, 22",0.01592
2022-12-12,47.06,49.21,47,49.1,49.1,11412724,11412724,2.04,4.335,48.43667,"December 12, 22",0.04335
2022-12-09,49.92,50.53,46.83,46.97,46.97,16072781,16072781,-2.95,-5.909,48.11,"December 09, 22",-0.05909
2022-12-08,50.91,51.62,49.5,49.92,49.92,9368556,9368556,-0.99,-1.945,50.34667,"December 08, 22",-0.01945
2022-12-07,50.98,51.8,49.55,49.8,49.8,9698463,9698463,-1.18,-2.315,50.38333,"December 07, 22",-0.02315
2022-12-06,50.94,52.1,50.48,50.88,50.88,12310170,12310170,-0.06,-0.118,51.15333,"December 06, 22",-0.00118
2022-12-05,53.5299988,54.1800003,50.9500008,51.3800011,51.2050018,12047000,12047000,-2.325,-4.343,52.11167,"December 05, 22",-0.04343
2022-12-02,51.5,52.8800011,51.2900009,52.7900009,52.610199,9375100,9375100,1.1102,2.156,52.26007,"December 02, 22",0.02156
2022-12-01,52.3199997,52.7400017,51.4599991,51.7599983,51.5837059,8152900,8152900,-0.73629,-1.407,51.9279,"December 01, 22",-0.01407
2022-11-30,51.5800018,51.9000015,50.4799995,51.5499992,51.3744202,19227900,19227900,-0.20558,-0.399,51.25147,"November 30, 22",-0.00399
2022-11-29,50.5999985,51.3899994,49.9300003,51.0499992,50.8761253,10809300,10809300,0.27613,0.546,50.73204,"November 29, 22",0.00546
2022-11-28,49.5099983,50.8300018,49.0800018,49.8800011,49.7101097,15397500,15397500,0.20011,0.404,49.87337,"November 28, 22",0.00404
2022-11-25,51.1399994,51.5200005,50.5299988,50.8300018,50.6568756,4951900,4951900,-0.48312,-0.945,50.90229,"November 25, 22",-0.00945
2022-11-23,52.4500008,52.8899994,51.0600014,51.4199982,51.2448616,10463200,10463200,-1.20514,-2.298,51.73162,"November 23, 22",-0.02298
2022-11-22,53.0200005,53.7700005,51.8300018,53.6399994,53.4573021,8969800,8969800,0.4373,0.825,53.0191,"November 22, 22",0.00825
2022-11-21,51.2400017,52.6899986,48.8600006,52.2700005,52.0919685,18814400,18814400,0.85197,1.663,51.21399,"November 21, 22",0.01663
2022-11-18,51.8499985,53.6100006,50.8800011,53.4399986,53.2579842,12140200,12140200,1.40799,2.716,52.58266,"November 18, 22",0.02716
2022-11-17,52,52.8600006,51.4199982,52.8300018,52.6500626,9868200,9868200,0.65006,1.25,52.31002,"November 17, 22",0.0125
2022-11-16,54.1500015,54.6100006,52.6100006,52.9900017,52.8095169,13414600,13414600,-1.34048,-2.475,53.34317,"November 16, 22",-0.02475
2022-11-15,54.4500008,55,53.5800018,54.6699982,54.4837914,9513400,9513400,0.03379,0.062,54.3546,"November 15, 22",0.00062
2022-11-14,54.6199989,56.0400009,53.8699989,54.0699997,53.8858376,9089200,9089200,-0.73416,-1.344,54.59861,"November 14, 22",-0.01344
2022-11-11,54.1899986,55.2599983,54.1699982,54.8199997,54.6332817,14725000,14725000,0.44328,0.818,54.68776,"November 11, 22",0.00818
2022-11-10,53.7900009,54.1599998,52.4500008,53.0999985,52.9191399,13088700,13088700,-0.87086,-1.619,53.17638,"November 10, 22",-0.01619
2022-11-09,54.0900002,54.0900002,52.7900009,53.0699997,52.8892441,21809000,21809000,-1.20076,-2.22,53.25642,"November 09, 22",-0.0222
2022-11-08,54.8100014,55.1199989,54.1800003,54.6899986,54.503727,15249600,15249600,-0.30627,-0.559,54.60124,"November 08, 22",-0.00559
2022-11-07,53,55.1100006,52.8100014,54.8100014,54.6233177,19928100,19928100,1.62332,3.063,54.18111,"November 07, 22",0.03063
2022-11-04,53.3499985,54.0299988,52.2299995,53.0999985,52.9191399,16764500,16764500,-0.43086,-0.808,53.05971,"November 04, 22",-0.00808
2022-11-03,50.6100006,52.1300011,50.5,51.7999992,51.6235695,15764600,15764600,1.01357,2.003,51.41786,"November 03, 22",0.02003
2022-11-02,51.2700005,52.3800011,50.7000008,51.1399994,50.9658165,11892300,11892300,-0.30418,-0.593,51.34861,"November 02, 22",-0.00593
2022-11-01,52.7000008,52.9399986,51.5,51.5499992,51.3744202,11932200,11932200,-1.32558,-2.515,51.93814,"November 01, 22",-0.02515
2022-10-31,50.0099983,52.4199982,50.0099983,52.0299988,51.852787,16663800,16663800,1.84279,3.685,51.42759,"October 31, 22",0.03685
2022-10-28,51.0400009,51.7099991,49.7700005,50.4500008,50.2781677,15772800,15772800,-0.76183,-1.493,50.58606,"October 28, 22",-0.01493
2022-10-27,53,53.5999985,51.5,51.6800003,51.5039787,18298200,18298200,-1.49602,-2.823,52.20133,"October 27, 22",-0.02823
2022-10-26,52.9300003,53.8899994,52.1399994,52.1800003,52.0022774,18232500,18232500,-0.92772,-1.753,52.67743,"October 26, 22",-0.01753
2022-10-25,51.8899994,52.6800003,51.2099991,52.4700012,52.2912903,18932500,18932500,0.40129,0.773,52.06043,"October 25, 22",0.00773
