date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-20,168.945,169.89,167.46,169.88,169.88,5745274,5745274,0.935,0.553,169.07667,"January 20, 23",0.00553
2023-01-19,171.28,172.17,169.4775,169.63,169.63,4720633,4720633,-1.65,-0.963,170.42583,"January 19, 23",-0.00963
2023-01-18,175.24,175.7384,171.33,171.62,171.62,5032778,5032778,-3.62,-2.066,172.89613,"January 18, 23",-0.02066
2023-01-17,176.15,177.5525,175.49,176.06,176.06,5032756,5032756,-0.09,-0.051,176.3675,"January 17, 23",-0.00051
2023-01-13,175.4,175.73,174.165,175.24,175.24,4720411,4720411,-0.16,-0.091,175.045,"January 13, 23",-0.00091
2023-01-12,177.66,178.37,175.32,175.78,175.78,4246660,4246660,-1.88,-1.058,176.49,"January 12, 23",-0.01058
2023-01-11,179.39,179.71,175.68,178.05,178.05,4370530,4370530,-1.34,-0.747,177.81333,"January 11, 23",-0.00747
2023-01-10,178.79,179.53,177.09,177.85,177.85,3817647,3817647,-0.94,-0.526,178.15667,"January 10, 23",-0.00526
2023-01-09,180.44,182.77,178.81,179.33,179.33,3319306,3319306,-1.11,-0.615,180.30333,"January 09, 23",-0.00615
2023-01-06,178.81,181.83,178.8,181.1,181.1,3713512,3713512,2.29,1.281,180.57667,"January 06, 23",0.01281
2023-01-05,177.96,178.77,176.86,177.1,177.1,3647339,3647339,-0.86,-0.483,177.57667,"January 05, 23",-0.00483
2023-01-04,179.41,180.54,177.55,178.97,178.97,4771582,4771582,-0.44,-0.245,179.02,"January 04, 23",-0.00245
2023-01-03,180.59,180.75,176.57,179.41,179.41,5137686,5137686,-1.18,-0.653,178.91,"January 03, 23",-0.00653
2022-12-30,181.38,181.96,179.29,180.66,180.66,3136452,3136452,-0.72,-0.397,180.63667,"December 30, 22",-0.00397
2022-12-29,181.92,182.86,181.89,181.98,181.98,2549351,2549351,0.06,0.033,182.24333,"December 29, 22",0.00033
2022-12-28,184.1,184.5442,181.64,181.75,181.75,2694337,2694337,-2.35,-1.276,182.64473,"December 28, 22",-0.01276
2022-12-27,183.282,183.61,182.27,183.07,183.07,3045086,3045086,-0.212,-0.116,182.98333,"December 27, 22",-0.00116
2022-12-23,180.91,182.55,180.45,182.26,182.26,2197935,2197935,1.35,0.746,181.75333,"December 23, 22",0.00746
2022-12-22,181.86,182.05,178.9166,181.09,181.09,4305926,4305926,-0.77,-0.423,180.68553,"December 22, 22",-0.00423
2022-12-21,181.55,183.68,181.4,182.5,182.5,4237063,4237063,0.95,0.523,182.52667,"December 21, 22",0.00523
2022-12-20,181.815,182.25,180.64,181.23,181.23,3249191,3249191,-0.585,-0.322,181.37333,"December 20, 22",-0.00322
2022-12-19,180.86,183.47,180.35,181.34,181.34,4447970,4447970,0.48,0.265,181.72,"December 19, 22",0.00265
2022-12-16,180.08,181.19,178.48,180.34,180.34,15709517,15709517,0.26,0.144,180.00333,"December 16, 22",0.00144
2022-12-15,181.98,182.712,178.39,180.25,180.25,6128793,6128793,-1.73,-0.951,180.45067,"December 15, 22",-0.00951
2022-12-14,184.07,185.88,182.13,183.36,183.36,5392841,5392841,-0.71,-0.386,183.79,"December 14, 22",-0.00386
2022-12-13,186.48,186.84,182.94,183.87,183.87,5635034,5635034,-2.61,-1.4,184.55,"December 13, 22",-0.014
2022-12-12,184.18,184.18,182.355,183.97,183.97,4691789,4691789,-0.21,-0.114,183.50167,"December 12, 22",-0.00114
2022-12-09,184.21,184.21,183.05,183.1,183.1,3116510,3116510,-1.11,-0.603,183.45333,"December 09, 22",-0.00603
2022-12-08,181.81,183.98,181.26,183.78,183.78,3801071,3801071,1.97,1.084,183.00667,"December 08, 22",0.01084
2022-12-07,181.81,182.45,180.69,182.18,182.18,4242012,4242012,0.37,0.204,181.77333,"December 07, 22",0.00204
2022-12-06,183.75,184.29,180.695,181.63,181.63,5835319,5835319,-2.12,-1.154,182.205,"December 06, 22",-0.01154
2022-12-05,183.43,183.94,182.32,183.12,183.12,4083550,4083550,-0.31,-0.169,183.12667,"December 05, 22",-0.00169
2022-12-02,184,186.3099976,183.8399963,185.6900024,185.6900024,3547700,3547700,1.69,0.918,185.28,"December 02, 22",0.00918
2022-12-01,185.4799957,186.3300018,184.1600037,185.8999939,185.8999939,4683300,4683300,0.42,0.226,185.46333,"December 01, 22",0.00226
2022-11-30,181.8999939,185.6999969,180.2400055,185.5099945,184.3600006,7915100,7915100,2.46001,1.352,183.43333,"November 30, 22",0.01352
2022-11-29,183.3000031,183.4199982,181.0200043,182.5899963,181.4580994,4375400,4375400,-1.8419,-1.005,181.96603,"November 29, 22",-0.01005
2022-11-28,184.3999939,185.4900055,183.5099945,183.8899994,182.7500458,6411400,6411400,-1.64995,-0.895,183.91668,"November 28, 22",-0.00895
2022-11-25,184.5800018,185,183.9400024,184.1100006,182.9686737,1837000,1837000,-1.61133,-0.873,183.96956,"November 25, 22",-0.00873
2022-11-23,185,186.0800018,184.5,185.0800018,183.932663,2511000,2511000,-1.06734,-0.577,184.83755,"November 23, 22",-0.00577
2022-11-22,185.8099976,186.6199951,184.3699951,184.8399963,183.6941528,4109600,4109600,-2.11584,-1.139,184.89471,"November 22, 22",-0.01139
2022-11-21,182.2700043,185.1300049,182.0899963,184.8200073,183.6742859,4397600,4397600,1.40428,0.77,183.63143,"November 21, 22",0.0077
2022-11-18,180.2100067,181.8399963,180.0200043,181.3300018,180.2059174,4498100,4498100,-0.00409,-0.002,180.68864,"November 18, 22",-2e-05
2022-11-17,177.4900055,180.1600037,177.4299927,180.0299988,178.9139709,3920300,3920300,1.42397,0.802,178.83466,"November 17, 22",0.00802
2022-11-16,178.3000031,179.6300049,177.7200012,178.3300018,177.2245178,4701100,4701100,-1.07549,-0.603,178.19151,"November 16, 22",-0.00603
2022-11-15,178.0399933,178.6999969,175.4199982,177.1900024,176.0915833,5153600,5153600,-1.94841,-1.094,176.73719,"November 15, 22",-0.01094
2022-11-14,178.6699982,179.1799927,176.5,176.7299957,175.6344299,5633000,5633000,-3.03557,-1.699,177.10481,"November 14, 22",-0.01699
2022-11-11,181.1300049,181.6900024,175.4400024,178.0500031,176.9462433,7390500,7390500,-4.18376,-2.31,178.02542,"November 11, 22",-0.0231
2022-11-10,182.6499939,182.9199982,178.5599976,181.6999969,180.5736237,6704100,6704100,-2.07637,-1.137,180.68454,"November 10, 22",-0.01137
2022-11-09,179.9499969,181.0700073,178.3999939,178.5500031,177.4431458,4723600,4723600,-2.50685,-1.393,178.97105,"November 09, 22",-0.01393
