date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-01-25,99.3,100.01,97.58,100.01,100.01,5965432,5964901,0.71,0.715,99.2,"January 25, 23",0.00715
2023-01-24,108.84,108.84,94.02,99.47,99.47,8307685,8307511,-9.37,-8.609,100.77667,"January 24, 23",-0.08609
2023-01-23,94.8,96.93,94.51,96.25,96.25,5603100,5602600,1.45,1.53,95.89667,"January 23, 23",0.0153
2023-01-20,94.15,94.44,93.34,94.36,94.36,8195870,8195400,0.21,0.223,94.04667,"January 20, 23",0.00223
2023-01-19,95.23,95.53,94.16,94.24,94.24,4641405,4641000,-0.99,-1.04,94.64333,"January 19, 23",-0.0104
2023-01-18,98.66,98.66,95.67,95.74,95.74,5321152,5321000,-2.92,-2.96,96.69,"January 18, 23",-0.0296
2023-01-17,99.25,99.65,98.36,98.43,98.43,3959253,3959000,-0.82,-0.826,98.81333,"January 17, 23",-0.00826
2023-01-13,97.74,99.05,97.51,98.68,98.68,4967521,4967300,0.94,0.962,98.41333,"January 13, 23",0.00962
2023-01-12,99.85,100.74,99.53,100.68,100.68,4221118,4220700,0.83,0.831,100.31667,"January 12, 23",0.00831
2023-01-11,100.12,100.33,98.93,99.59,99.59,4515631,4515352,-0.53,-0.529,99.61667,"January 11, 23",-0.00529
2023-01-10,99.42,101.08,99.02,99.92,99.92,4700840,4700800,0.5,0.503,100.00667,"January 10, 23",0.00503
2023-01-09,102.73,102.78,98.78,99.6,99.6,6376631,6376600,-3.13,-3.047,100.38667,"January 09, 23",-0.03047
2023-01-06,101.9,103.95,101.3,102.46,102.46,6410753,6410600,0.56,0.55,102.57,"January 06, 23",0.0055
2023-01-05,100.27,101.46,99.66,100.88,100.88,4965583,4965100,0.61,0.608,100.66667,"January 05, 23",0.00608
2023-01-04,100.51,102.1,100.41,100.84,100.84,5635540,5635100,0.33,0.328,101.11667,"January 04, 23",0.00328
2023-01-03,100.99,101.23,100.1,100.81,100.81,3531606,3531600,-0.18,-0.178,100.71333,"January 03, 23",-0.00178
2022-12-30,100.28,101.01,99.78,100.92,100.92,2982372,2982300,0.64,0.638,100.57,"December 30, 22",0.00638
2022-12-29,99.23,100.6,99.08,100.33,100.33,2940677,2940600,1.1,1.109,100.00333,"December 29, 22",0.01109
2022-12-28,99.75,100.34,99.11,99.14,99.14,2418368,2418300,-0.61,-0.612,99.53,"December 28, 22",-0.00612
2022-12-27,99.6,100.24,99.33,99.66,99.66,2599665,2599500,0.06,0.06,99.74333,"December 27, 22",0.0006
2022-12-23,98.51,99.41,98.03,99.3,99.3,2119306,2119300,0.79,0.802,98.91333,"December 23, 22",0.00802
2022-12-22,99.46,99.61,96.98,98.51,98.51,3165222,3165000,-0.95,-0.955,98.36667,"December 22, 22",-0.00955
2022-12-21,99.02,99.85,98.7,99.76,99.76,3606379,3606300,0.74,0.747,99.43667,"December 21, 22",0.00747
2022-12-20,97.4,98.96,97.29,98.18,98.18,3906222,3906000,0.78,0.801,98.14333,"December 20, 22",0.00801
2022-12-19,98.5,99.2,97.12,97.54,97.54,4732721,4732400,-0.96,-0.975,97.95333,"December 19, 22",-0.00975
2022-12-16,97.46,98.63,96.26,98.34,98.34,7610226,7609800,0.88,0.903,97.74333,"December 16, 22",0.00903
2022-12-15,99.75,99.79,97.3,98.49,98.49,4843127,4843000,-1.26,-1.263,98.52667,"December 15, 22",-0.01263
2022-12-14,100.29,100.9,99.42,99.95,99.95,4938396,4938100,-0.34,-0.339,100.09,"December 14, 22",-0.00339
2022-12-13,101.57,101.96,99.66,99.89,99.89,7098288,7097800,-1.68,-1.654,100.50333,"December 13, 22",-0.01654
2022-12-12,98.6,99.61,98.5,99.56,99.56,4576980,4576600,0.96,0.974,99.22333,"December 12, 22",0.00974
2022-12-09,99.24,100.34,98.23,98.27,98.27,3327126,3326900,-0.97,-0.977,98.94667,"December 09, 22",-0.00977
2022-12-08,99.64,100.28,99.19,99.49,99.49,2778387,2778300,-0.15,-0.151,99.65333,"December 08, 22",-0.00151
2022-12-07,98.89,99.63,98.47,99.04,99.04,3220680,3220500,0.15,0.152,99.04667,"December 07, 22",0.00152
